"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE"
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","North Florida","ASUN","Home",16,"Brooklyn Yelland","L/DS",4,0,0,1,0,1,4,1,10,11,1,0,0,0,4,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",23,"Julia Haggerty","MB",4,8,1,18,0.389,0,0,0,0,5,0,3,5,0,13.5,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",14,"Anna Herrington","MB",4,11,3,25,0.32,0,0,0,3,2,0,0,6,0,14,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",12,"Sam Hoppes","OPP",4,2,0,5,0.4,1,0,0,0,0,0,0,0,1,2,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",5,"Sophia Lambros","S",4,0,0,0,0,22,3,1,20,0,0,0,0,0,3,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",24,"Sequoia Layne","OH",1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",8,"Grace Milliken","MB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",10,"Aubrey Moore","S",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",19,"Jane Petrie","S",4,1,0,1,1,10,0,1,3,0,0,0,0,0,1,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",11,"Morgan Riddle","L/DS",4,0,0,0,0,5,0,0,14,38,3,0,0,0,0,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",17,"Cornelia Roach","MB",4,1,0,7,0.143,0,0,0,0,1,0,0,3,1,2.5,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",13,"Audrey Ross","OH",4,13,1,29,0.414,2,0,1,2,17,0,0,2,0,14,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",2,"Halle Schroder","OH",4,12,12,48,0,2,2,0,9,2,0,0,0,1,14,0
"Boston College","2024-2025",2024-09-19,"Boston College","ACC","LSU","SEC","Away",16,"Brooklyn Yelland","L/DS",4,0,0,0,0,2,2,2,8,18,2,0,0,0,2,0
"Boston College","2024-2025",2024-09-20,"Boston College","ACC","San Diego","WCC","Home",1,"Emilia Bernal","L/DS",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-20,"Boston College","ACC","San Diego","WCC","Home",23,"Julia Haggerty","MB",3,4,1,11,0.273,0,0,0,0,0,0,1,5,0,7.5,0
"Boston College","2024-2025",2024-09-20,"Boston College","ACC","San Diego","WCC","Home",14,"Anna Herrington","MB",3,5,1,16,0.25,0,0,0,2,0,0,0,2,0,6,0
"Boston College","2024-2025",2024-09-20,"Boston College","ACC","San Diego","WCC","Home",12,"Sam Hoppes","OPP",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
